n,Average Runtime
6519,4.312731325626373e-05
6530,2.1602027118206024e-05
6541,2.3101456463336945e-05
6552,2.2742338478565217e-05
6563,2.2361427545547487e-05
6574,2.1888315677642824e-05
6585,2.414938062429428e-05
6596,2.3750215768814086e-05
6607,2.162996679544449e-05
6618,2.3719482123851775e-05
6629,2.315100282430649e-05
6640,2.2410601377487183e-05
6651,2.262163907289505e-05
6662,2.3102201521396636e-05
6673,2.450495958328247e-05
6684,2.4040229618549347e-05
6695,2.310052514076233e-05
6706,2.2655539214611054e-05
6717,2.3102201521396636e-05
6728,2.4491921067237854e-05
6739,2.3450888693332673e-05
6750,2.107527107000351e-05
6761,2.349056303501129e-05
6772,2.3112818598747254e-05
6783,2.3396499454975127e-05
6794,2.2403337061405183e-05
6805,2.3814290761947633e-05
6816,2.3510865867137908e-05
6827,2.3091770708560942e-05
6838,2.2715702652931213e-05
6849,2.3712217807769775e-05
6860,2.453010529279709e-05
6871,2.4230219423770905e-05
6882,2.3869238793849946e-05
6893,2.408009022474289e-05
6904,2.304874360561371e-05
6915,2.3372657597064973e-05
6926,2.2851862013339996e-05
6937,2.1836161613464357e-05
6948,2.4158507585525513e-05
6959,2.3831054568290712e-05
6970,2.3441389203071594e-05
6981,2.306103706359863e-05
6992,2.455972135066986e-05
