n,Average Runtime
5617,4.654061049222946e-05
5628,4.894416779279709e-05
5639,4.720576107501984e-05
5650,4.585031419992447e-05
5661,4.618074744939804e-05
5672,4.681702703237534e-05
5683,4.781503230333328e-05
5694,4.8630498349666594e-05
5705,4.666000604629517e-05
5716,4.686657339334488e-05
5727,4.682838916778564e-05
5738,4.825163632631302e-05
5749,4.825405776500702e-05
5760,4.694052040576935e-05
5771,4.783589392900467e-05
5782,4.8226490616798404e-05
5793,5.0210580229759214e-05
5804,4.850439727306366e-05
5815,4.7029554843902587e-05
5826,4.7817081212997434e-05
5837,4.857834428548813e-05
5848,4.866011440753937e-05
5859,4.8675760626792905e-05
5870,4.7468394041061404e-05
5881,4.7917664051055905e-05
5892,4.931110888719559e-05
5903,4.82168048620224e-05
5914,4.9754790961742404e-05
5925,4.8075802624225616e-05
5936,4.831161350011825e-05
5947,4.975814372301102e-05
5958,4.969183355569839e-05
5969,4.973262548446655e-05
5980,4.891417920589447e-05
5991,5.124751478433609e-05
6002,4.935208708047867e-05
6013,5.00733032822609e-05
6024,5.065165460109711e-05
6035,4.9633532762527464e-05
6046,5.008354783058167e-05
6057,5.573276430368423e-05
6068,5.072373896837234e-05
6079,5.064103752374649e-05
6090,5.0008110702037814e-05
6101,4.951227456331253e-05
6112,5.030818283557892e-05
6123,5.104523152112961e-05
6134,5.076862871646881e-05
6145,5.016624927520752e-05
6156,5.013272166252136e-05
6167,5.0525180995464325e-05
6178,5.0473399460315706e-05
6189,5.2008405327796935e-05
6200,4.911888390779495e-05
6211,5.07798045873642e-05
6222,5.0800666213035586e-05
6233,5.1902979612350465e-05
6244,5.252137780189514e-05
6255,5.061943084001541e-05
6266,5.1373802125453946e-05
6277,5.1390565931797025e-05
6288,5.1516108214855194e-05
6299,5.2949413657188416e-05
6310,5.1257945597171786e-05
6321,5.112066864967346e-05
6332,5.2386894822120667e-05
6343,5.264617502689362e-05
6354,5.246642976999283e-05
6365,5.1787495613098146e-05
6376,5.1763281226158143e-05
6387,5.1851198077201846e-05
6398,5.624257028102875e-05
6409,5.510319024324417e-05
6420,5.2278116345405576e-05
6431,5.5194646120071414e-05
6442,5.257353186607361e-05
6453,5.289539694786072e-05
6464,5.29387965798378e-05
6475,5.205832421779632e-05
6486,5.706027150154114e-05
6497,5.369819700717926e-05
6508,5.2869506180286405e-05
6519,5.374085158109665e-05
6530,5.210172384977341e-05
6541,5.946829915046692e-05
6552,5.249474197626114e-05
6563,6.233341991901398e-05
6574,5.4016523063182834e-05
6585,5.25008887052536e-05
6596,5.329474806785584e-05
6607,5.397051572799683e-05
6618,5.3952261805534366e-05
6629,5.467683076858521e-05
6640,5.390234291553497e-05
6651,5.285162478685379e-05
6662,5.366131663322449e-05
6673,5.433708429336548e-05
6684,5.537886172533035e-05
6695,5.417633801698685e-05
6706,5.360953509807587e-05
6717,6.3985213637352e-05
6728,5.51171600818634e-05
6739,5.6014396250247955e-05
6750,5.307216197252274e-05
6761,5.402248352766037e-05
6772,5.475953221321106e-05
6783,5.591269582509995e-05
6794,5.635768175125122e-05
6805,5.462151020765305e-05
6816,5.47679141163826e-05
6827,5.4768286645412445e-05
6838,5.528628826141357e-05
6849,5.7050399482250215e-05
6860,6.135255098342896e-05
6871,5.5036135017871855e-05
6882,5.6768395006656645e-05
6893,5.604643374681473e-05
6904,5.5689550936222074e-05
6915,5.566887557506561e-05
6926,5.5756978690624236e-05
6937,5.648229271173477e-05
6948,5.7213380932807924e-05
6959,5.650948733091354e-05
6970,5.602985620498657e-05
6981,5.5806897580623624e-05
6992,5.7170167565345764e-05
