n,Average Runtime
2151,2.9354227521904973e-05
2152,2.299072365357091e-05
2153,3.7873111732844576e-05
2154,3.643619150444089e-05
2155,4.628935878461249e-05
2156,5.593725174635189e-05
2157,2.370918376772835e-05
2158,3.735992593711934e-05
2159,2.43250067227585e-05
2160,3.26386166152659e-05
2161,4.341551832789392e-05
2162,3.6949377300388166e-05
2163,4.084958934882366e-05
2164,3.469135979861093e-05
2165,2.8533130248531435e-05
2166,3.1406970705250004e-05
2167,2.381182092685563e-05
2168,2.4427643881841377e-05
2169,2.5659289791857275e-05
2170,2.2785449335183115e-05
2171,3.1509607864466105e-05
2172,3.510190843538652e-05
2173,4.557089867041064e-05
2174,3.5615094231156166e-05
2175,3.972058059797945e-05
2176,3.4896634117043135e-05
2177,4.2902332532079865e-05
2178,3.653882866365699e-05
2179,3.643619150448529e-05
2180,3.787311173288899e-05
2181,2.3606546608512248e-05
2182,3.448608548031196e-05
2183,3.715465161868714e-05
2184,3.684674014121647e-05
2185,3.746256309615781e-05
2186,3.499927127617042e-05
2187,3.9002120483688785e-05
2188,3.664146582287309e-05
2189,4.105486366707822e-05
2190,3.612828002705903e-05
2191,2.3503909449384963e-05
2192,3.797574889201627e-05
2193,3.366498820693842e-05
2194,3.602564286784293e-05
2195,2.463291820018476e-05
2196,2.2682812176100242e-05
2197,3.838629752874745e-05
2198,3.499927127612601e-05
2199,6.496932175310554e-05
2200,3.653882866361258e-05
